customer_id,customer_name,customer_type,city,county,market_segment,average_order_size_kg,payment_terms,credit_risk_level,preferred_product,delivery_preference,relationship_start_date
C0040,Value Supermarket Meru Town,Supermarket,Meru Town,Meru,Retail,1303,Net 30,Low,Maize,Third-Party Transporter,2022-08-13
C0041,Hope NGO Kenya,Relief/NGO Buyer,Eldoret,Uasin Gishu,Institutional,1122,Net 30,Medium,Rice,Third-Party Transporter,2023-04-12
C0042,Meru Town County Hospital,Hospital,Meru Town,Meru,Institutional,862,Net 14,Medium,Wheat,Customer Pickup,2022-10-30
C0043,QuickMart Supermarket Nakuru,Supermarket,Nakuru,Nakuru,Retail,486,Net 14,Low,Wheat,Customer Pickup,2023-10-05
C0044,Kenyatta Secondary School,School,Nyeri Town,Nyeri,Institutional,564,Net 14,Low,Wheat,Third-Party Transporter,2022-05-08
C0045,Nakuru Nursing Home,Hospital,Nakuru,Nakuru,Institutional,333,Net 14,Low,Beans,Customer Pickup,2022-12-21
C0046,Jubilee Academy,School,Thika,Kiambu,Institutional,610,Net 14,Medium,Millet,Third-Party Transporter,2023-06-26
C0047,Nyama Choma Eatery,Restaurant,Nakuru,Nakuru,Foodservice,441,Cash on Delivery,High,Wheat,Customer Pickup,2023-08-15
C0048,Meru Town Medical Centre,Hospital,Meru Town,Meru,Institutional,2267,Net 14,High,Rice,Third-Party Transporter,2023-07-15
C0049,Muthoni Foods,Retailer,Nyeri Town,Nyeri,Retail,1533,Net 30,Low,Cowpeas,Customer Pickup,2022-06-11
C0050,Kamau General Merchants,Retailer,Meru Town,Meru,Retail,978,Net 30,Low,Maize,Third-Party Transporter,2023-07-11
C0051,Mwangi Traders,Wholesaler,Nakuru,Nakuru,Wholesale,2522,Net 7,Medium,Sorghum,Company Delivery,2022-07-25
C0052,St. Joseph Academy,School,Meru Town,Meru,Institutional,457,Cash on Delivery,Medium,Millet,Company Delivery,2024-04-13
C0053,Highlands Grill,Restaurant,Meru Town,Meru,Foodservice,828,Net 30,Low,Maize,Third-Party Transporter,2022-05-02
C0054,Care Relief Foundation,Relief/NGO Buyer,Mombasa,Mombasa,Institutional,1569,Net 14,High,Wheat,Company Delivery,2024-05-05
C0055,Hope Aid Trust,Relief/NGO Buyer,Kisumu,Kisumu,Institutional,340,Cash on Delivery,Medium,Green Grams,Customer Pickup,2022-03-18
C0056,Kiptoo Supplies,Wholesaler,Mombasa,Mombasa,Wholesale,3293,Net 14,Low,Rice,Company Delivery,2024-10-29
C0057,St. Joseph Secondary School,School,Nakuru,Nakuru,Institutional,608,Net 7,Low,Maize,Company Delivery,2022-01-29
C0058,Eldoret Nursing Home,Hospital,Eldoret,Uasin Gishu,Institutional,681,Cash on Delivery,Medium,Sorghum,Third-Party Transporter,2024-04-10
C0059,QuickMart Supermarket Thika,Supermarket,Thika,Kiambu,Retail,961,Cash on Delivery,High,Beans,Customer Pickup,2023-10-25
C0060,Harvest Aid Trust,Relief/NGO Buyer,Nairobi,Nairobi,Institutional,534,Net 14,High,Maize,Customer Pickup,2022-01-24
